School,Nickname,Conference,Location,Home Venue
Abilene Christian,Wildcats,Southland,"Abilene, TX",Moody Coliseum
Air Force,Falcons,MWC,"Colorado Springs, CO",Clune Arena
Akron,Zips,MAC,"Akron, OH",James A. Rhodes Arena
Alabama,Crimson Tide,SEC,"Tuscaloosa, AL",Coleman Coliseum
Alabama A&M,Bulldogs,SWAC,"Normal, AL",Elmore Gymnasium
Alabama State,Hornets,SWAC,"Montgomery, AL",Dunn-Oliver Acadome
Albany,Great Danes,AM East,"Albany, NY",SEFCU Arena
Alcorn State,Braves,SWAC,"Lorman, MS",Davey Whitney Complex
American University,Eagles,Patriot,"Washington, DC",Bender Arena
Appalachian State,Mountaineers,Sun Belt,"Boone, NC",George M. Holmes Convocation Center
Arizona,Wildcats,Pac-12,"Tucson, AZ",McKale Center
Arizona State,Sun Devils,Pac-12,"Tempe, AZ",Wells Fargo Arena
Arkansas,Razorbacks,SEC,"Fayetteville, AR",Bud Walton Arena
Arkansas State,Red Wolves,Sun Belt,"Jonesboro, AR",Convocation Center
Arkansas-Pine Bluff,Golden Lions,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena
Army,Black Knights,Patriot,"West Point, NY",Christl Arena
Auburn,Tigers,SEC,"Auburn, AL",Auburn Arena
Austin Peay,Governors,OVC,"Clarksville, TN",Dave Aaron Arena
Ball State,Cardinals,MAC,"Muncie, IN",John E. Worthen Arena
Baylor,Bears,Big 12,"Waco, TX",Ferrell Center
Belmont,Bruins,OVC,"Nashville, TN",Curb Event Center
Bethune-Cookman,Wildcats,MEAC,"Daytona Beach, FL",Moore Gymnasium
Binghamton,Bearcats,AM East,"Vestal, NY",Binghamton University Events Center
Boise State,Broncos,MWC,"Boise, ID",Taco Bell Arena
Boston College,Eagles,ACC,"Chestnut Hill, MA",Conte Forum
Boston University,Terriers,Patriot,"Boston, MA",Agganis Arena
Bowling Green,Falcons,MAC,"Bowling Green, OH",Stroh Center
Bradley,Braves,MVC,"Peoria, IL",Carver Arena
Brigham Young,Cougars,WCC,"Provo, UT",Marriott Center
Brown,Bears,Ivy,"Providence, RI",Pizzitola Sports Center
Bryant,Bulldogs,NEC,"Smithfield, RI",Chace Athletic Center
Bucknell,Bison,Patriot,"Lewisburg, PA",Sojka Pavilion
Buffalo,Bulls,MAC,"Buffalo, NY",Alumni Arena
Butler,Bulldogs,Big East,"Indianapolis, IN",Hinkle Fieldhouse
Cal Poly,Mustangs,Big West,"San Luis Obispo, CA",Mott Gym
Cal State Bakersfield,Roadrunners,WAC,"Bakersfield, CA",Rabobank Arena
Cal State Fullerton,Titans,Big West,"Fullerton, CA",Titan Gym
Cal State Northridge,Matadors,Big West,"Northridge, CA",Matadome
California,Golden Bears,Pac-12,"Berkeley, CA",Haas Pavilion
Campbell,Fighting Camels,Big South,"Buies Creek, NC",John W. Pope Jr. Convocation Center
Canisius,Golden Griffins,MAAC,"Buffalo, NY",Koessler Athletic Center
Central Arkansas,Bears,Southland,"Conway, AR",Farris Center
Central Connecticut State,Blue Devils,NEC,"New Britain, CT",William H. Detrick Gymnasium
Central Michigan,Chippewas,MAC,"Mount Pleasant, MI",McGuirk Arena
Charleston,Cougars,CAA,"Charleston, SC",TD Arena
Charleston Southern,Buccaneers,Big South,"North Charleston, SC",CSU Field House
Charlotte,49ers,C-USA,"Charlotte, NC",Dale F. Halton Arena
Chattanooga,Mocs,SoCon,"Chattanooga, TN",McKenzie Arena
Chicago State,Cougars,WAC,"Chicago, IL",Emil and Patricia Jones Convocation Center
Cincinnati,Bearcats,AAC,"Cincinnati, OH",Fifth Third Arena
Citadel,Bulldogs,SoCon,"Charleston, SC",McAlister Field House
Clemson,Tigers,ACC,"Clemson, SC",Littlejohn Coliseum
Cleveland State,Vikings,Horizon,"Cleveland, OH",Wolstein Center
Coastal Carolina,Chanticleers,Sun Belt,"Conway, SC",The HTC Center
Colgate,Raiders,Patriot,"Hamilton, NY",Cotterell Court
Colorado,Buffaloes,Pac-12,"Boulder, CO",Coors Events Center
Colorado State,Rams,MWC,"Fort Collins, CO",Moby Arena
Columbia,Lions,Ivy,"New York, NY",Levien Gymnasium
Connecticut,Huskies,AAC,"Hartford, CT",XL Center
Coppin State,Eagles,MEAC,"Baltimore, MD",Physical Education Complex
Cornell,Big Red,Ivy,"Ithaca, NY",Newman Arena
Creighton,Bluejays,Big East,"Omaha, NE",CenturyLink Center Omaha
Dartmouth,Big Green,Ivy,"Hanover, NH",Leede Arena
Davidson,Wildcats,A-10,"Davidson, NC",John M. Belk Arena
Dayton,Flyers,A-10,"Dayton, OH",University of Dayton Arena
Delaware,Fightin Blue Hens,CAA,"Newark, DE",Bob Carpenter Center
Delaware State,Hornets,MEAC,"Dover, DE",Memorial Hall
Denver,Pioneers,Summit,"Denver, CO",Magness Arena
DePaul,Blue Demons,Big East,"Rosemont, IL",Allstate Arena
Detroit,Titans,Horizon,"Detroit, MI",Calihan Hall
Drake,Bulldogs,MVC,"Des Moines, IA",Knapp Center
Drexel,Dragons,CAA,"Philadelphia, PA",Daskalakis Athletic Center
Duke,Blue Devils,ACC,"Durham, NC",Cameron Indoor Stadium
Duquesne,Dukes,A-10,"Pittsburgh, PA",A.J. Palumbo Center
East Carolina,Pirates,AAC,"Greenville, NC",Williams Arena at Minges Coliseum
East Tennessee State,Buccaneers,SoCon,"Johnson City, TN",Freedom Hall Civic Center
Eastern Illinois,Panthers,OVC,"Charleston, IL",Lantz Arena
Eastern Kentucky,Colonels,OVC,"Richmond, KY",McBrayer Arena
Eastern Michigan,Eagles,MAC,"Ypsilanti, MI",Convocation Center
Eastern Washington,Eagles,Big Sky,"Cheney, WA",Reese Court
Elon,Phoenix,CAA,"Elon, NC",Alumni Gymnasium
Evansville,Aces,MVC,"Evansville, IN",Ford Center
Fairfield,Stags,MAAC,"Bridgeport, CT",Webster Bank Arena
Fairleigh Dickinson,Knights,NEC,"Hackensack, NJ",Rothman Center
Florida,Gators,SEC,"Gainesville, FL",Stephen C. O'Connell Center
Florida A&M,Rattlers,MEAC,"Tallahassee, FL",Alfred Lawson Center
Florida Atlantic,Owls,C-USA,"Boca Raton, FL",FAU Arena
Florida Gulf Coast,Eagles,A-Sun,"Fort Myers, FL",Alico Arena
Florida International,Golden Panthers,C-USA,"Miami, FL",FIU Arena
Florida State,Seminoles,ACC,"Tallahassee, FL",Donald L. Tucker Center
Fordham,Rams,A-10,"Bronx, NY",Rose Hill Gymnasium
Fort Wayne,Mastodons,Summit,"Fort Wayne, IN",Hilliard Gates Sports Center
Fresno State,Bulldogs,MWC,"Fresno, CA",Save Mart Center
Furman,Paladins,SoCon,"Greenville, SC",Timmons Arena
Gardner-Webb,Runnin' Bulldogs,Big South,"Boiling Springs, NC",Paul Porter Arena
George Mason,Patriots,A-10,"Fairfax, VA",EagleBank Arena
George Washington,Colonials,A-10,"Washington, DC",Charles E. Smith Athletic Center
Georgetown,Hoyas,Big East,"Washington, DC",Verizon Center
Georgia,Bulldogs,SEC,"Athens, GA",Stegeman Coliseum
Georgia Southern,Eagles,Sun Belt,"Statesboro, GA",Hanner Fieldhouse
Georgia State,Panthers,Sun Belt,"Atlanta, GA",GSU Sports Arena
Georgia Tech,Yellow Jackets,ACC,"Atlanta, GA",Hank McCamish Pavilion
Gonzaga,Bulldogs,WCC,"Spokane, WA",McCarthey Athletic Center
Grambling State,Tigers,SWAC,"Grambling, LA",GSU Assembly Center
Grand Canyon,Antelopes,WAC,"Phoenix, AZ",GCU Arena
Green Bay,Phoenix,Horizon,"Ashwaubenon, WI",Resch Center
Hampton,Pirates,MEAC,"Hampton, VA",Hampton Convocation Center
Hartford,Hawks,AM East,"Hartford, CT",Chase Arena
Harvard,Crimson,Ivy,"Boston, MA",Lavietes Pavilion
Hawaii,Warriors,Big West,"Honolulu, HI",Stan Sheriff Center
High Point,Panthers,Big South,"High Point, NC",Millis Athletic Convocation Center
Hofstra,Pride,CAA,"Hempstead, NY",David S. Mack Sports Complex
Holy Cross,Crusaders,Patriot,"Worcester, MA",Hart Center
Houston,Cougars,AAC,"Houston, TX",Hofheinz Pavilion
Houston Baptist,Huskies,Southland,"Houston, TX",Sharp Gymnasium
Howard,Bison,MEAC,"Washington, DC",Burr Gymnasium
Idaho,Vandals,Big Sky,"Moscow, ID",Kibbie Dome
Idaho State,Bengals,Big Sky,"Pocatello, ID",Holt Arena
Illinois,Fighting Illini,Big Ten,"Champaign, IL",State Farm Center
Illinois State,Redbirds,MVC,"Normal, IL",Redbird Arena
Illinois-Chicago,Flames,Horizon,"Chicago, IL",UIC Pavilion
Incarnate Word,Cardinals,Southland,"San Antonio, TX",McDermott Convocation Center
Indiana,Hoosiers,Big Ten,"Bloomington, IN",Assembly Hall
Indiana State,Sycamores,MVC,"Terre Haute, IN",Hulman Center
Iona,Gaels,MAAC,"New Rochelle, NY",Hynes Athletic Center
Iowa,Hawkeyes,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena
Iowa State,Cyclones,Big 12,"Ames, IA",Hilton Coliseum
IUPUI,Jaguars,Summit,"Indianapolis, IN",Indiana Farmers Coliseum
Jackson State,Tigers,SWAC,"Jackson, MS",Williams Assembly Center
Jacksonville,Dolphins,A-Sun,"Jacksonville, FL",Jacksonville Veterans Memorial Arena
Jacksonville State,Gamecocks,OVC,"Jacksonville, AL",Pete Mathews Coliseum
James Madison,Dukes,CAA,"Harrisonburg, VA",James Madison University Convocation Center
Kansas,Jayhawks,Big 12,"Lawrence, KS",Phog Allen Fieldhouse
Kansas State,Wildcats,Big 12,"Manhattan, KS",Bramlage Coliseum
Kennesaw State,Owls,A-Sun,"Kennesaw, GA",KSU Convocation Center
Kent State,Golden Flashes,MAC,"Kent, OH",Memorial Athletic and Convocation Center
Kentucky,Wildcats,SEC,"Lexington, KY",Rupp Arena
La Salle,Explorers,A-10,"Philadelphia, PA",Tom Gola Arena
Lafayette,Leopards,Patriot,"Easton, PA",Kirby Sports Center
Lamar,Cardinals,Southland,"Beaumont, TX",Montagne Center
Lehigh,Mountain Hawks,Patriot,"Bethlehem, PA",Stabler Arena
Liberty,Flames,Big South,"Lynchburg, VA",Vines Center
Lipscomb,Bisons,A-Sun,"Nashville, TN",Allen Arena
Little Rock,Trojans,Sun Belt,"Little Rock, AR",Jack Stephens Center
Long Beach State,49ers,Big West,"Long Beach, CA",Walter Pyramid
Long Island,Brooklyn Blackbirds,NEC,"Brooklyn, NY",Steinberg Wellness Center
Longwood,Lancers,Big South,"Farmville, VA",Willett Hall
Louisiana Tech,Bulldogs,C-USA,"Ruston, LA",Thomas Assembly Center
Louisiana-Lafayette,Ragin' Cajuns,Sun Belt,"Lafayette, LA",Cajundome
Louisiana-Monroe,Warhawks,Sun Belt,"Monroe, LA",Fant-Ewing Coliseum
Louisville,Cardinals,ACC,"Louisville, KY",KFC Yum! Center
Loyola (IL),Ramblers,MVC,"Chicago, IL",Joseph J. Gentile Center
Loyola (MD),Greyhounds,Patriot,"Baltimore, MD",Reitz Arena
Loyola Marymount,Lions,WCC,"Los Angeles, CA",Gersten Pavilion
LSU,Tigers,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center
Maine,Black Bears,AM East,"Orono, ME",Alfond Arena
Manhattan,Jaspers,MAAC,"Riverdale, NY",Draddy Gymnasium
Marist,Red Foxes,MAAC,"Poughkeepsie, NY",McCann Field House
Marquette,Golden Eagles,Big East,"Milwaukee, WI",BMO Harris Bradley Center
Marshall,Thundering Herd,C-USA,"Huntington, WV",Cam Henderson Center
